Request id,Pickup point,Driver id,Status,Request timestamp,Date,Request Time,Request Time Slot,Drop timestamp,Drop Date,Drop Time
619,Airport,1,Trip Completed,11-07-2016 11:51,11-07-2016,11:51,Morning,11-07-2016 13:00,11-07-2016,13:00
867,Airport,1,Trip Completed,11-07-2016 17:57,11-07-2016,17:57,Evening,11-07-2016 18:47,11-07-2016,18:47
1807,City,1,Trip Completed,12-07-2016 09:17,12-07-2016,09:17,Morning,12-07-2016 09:58,12-07-2016,09:58
2532,Airport,1,Trip Completed,12-07-2016 21:08,12-07-2016,21:08,Night,12-07-2016 22:03,12-07-2016,22:03
3112,City,1,Trip Completed,13-07-2016 08:33,13-07-2016,08:33,Morning,13-07-2016 09:25,13-07-2016,09:25
3879,Airport,1,Trip Completed,13-07-2016 21:57,13-07-2016,21:57,Night,13-07-2016 22:28,13-07-2016,22:28
4270,Airport,1,Trip Completed,14-07-2016 06:15,14-07-2016,06:15,Early Morning,14-07-2016 07:13,14-07-2016,07:13
5510,Airport,1,Trip Completed,15-07-2016 05:11,15-07-2016,05:11,Early Morning,15-07-2016 06:07,15-07-2016,06:07
6248,City,1,Trip Completed,15-07-2016 17:57,15-07-2016,17:57,Evening,15-07-2016 18:50,15-07-2016,18:50
267,City,2,Trip Completed,11-07-2016 06:46,11-07-2016,06:46,Early Morning,11-07-2016 07:25,11-07-2016,07:25
1467,Airport,2,Trip Completed,12-07-2016 05:08,12-07-2016,05:08,Early Morning,12-07-2016 06:02,12-07-2016,06:02
1983,City,2,Trip Completed,12-07-2016 12:30,12-07-2016,12:30,Afternoon,12-07-2016 12:57,12-07-2016,12:57
2784,Airport,2,Trip Completed,13-07-2016 04:49,13-07-2016,04:49,Early Morning,13-07-2016 05:23,13-07-2016,05:23
3075,City,2,Trip Completed,13-07-2016 08:02,13-07-2016,08:02,Morning,13-07-2016 09:16,13-07-2016,09:16
3379,City,2,Trip Completed,13-07-2016 14:23,13-07-2016,14:23,Afternoon,13-07-2016 15:35,13-07-2016,15:35
3482,Airport,2,Trip Completed,13-07-2016 17:23,13-07-2016,17:23,Evening,13-07-2016 18:20,13-07-2016,18:20
4652,City,2,Trip Completed,14-07-2016 12:01,14-07-2016,12:01,Afternoon,14-07-2016 12:36,14-07-2016,12:36
5335,Airport,2,Trip Completed,14-07-2016 22:24,14-07-2016,22:24,Night,14-07-2016 23:18,14-07-2016,23:18
535,Airport,3,Trip Completed,11-07-2016 10:00,11-07-2016,10:00,Morning,11-07-2016 10:31,11-07-2016,10:31
960,Airport,3,Trip Completed,11-07-2016 18:45,11-07-2016,18:45,Evening,11-07-2016 19:23,11-07-2016,19:23
1934,Airport,3,Trip Completed,12-07-2016 11:17,12-07-2016,11:17,Morning,12-07-2016 12:23,12-07-2016,12:23
2083,Airport,3,Trip Completed,12-07-2016 15:46,12-07-2016,15:46,Afternoon,12-07-2016 16:40,12-07-2016,16:40
2211,Airport,3,Trip Completed,12-07-2016 18:00,12-07-2016,18:00,Evening,12-07-2016 18:28,12-07-2016,18:28
3096,Airport,3,Trip Completed,13-07-2016 08:17,13-07-2016,08:17,Morning,13-07-2016 09:22,13-07-2016,09:22
3881,Airport,3,Trip Completed,13-07-2016 21:54,13-07-2016,21:54,Night,13-07-2016 22:51,13-07-2016,22:51
5254,City,3,Trip Completed,14-07-2016 21:23,14-07-2016,21:23,Night,14-07-2016 22:25,14-07-2016,22:25
5434,City,3,Trip Completed,15-07-2016 02:41,15-07-2016,02:41,Early Morning,15-07-2016 03:24,15-07-2016,03:24
5916,City,3,Trip Completed,15-07-2016 10:00,15-07-2016,10:00,Morning,15-07-2016 10:53,15-07-2016,10:53
669,City,4,Trip Completed,11-07-2016 13:08,11-07-2016,13:08,Afternoon,11-07-2016 13:49,11-07-2016,13:49
1567,Airport,4,Trip Completed,12-07-2016 06:21,12-07-2016,06:21,Early Morning,12-07-2016 07:10,12-07-2016,07:10
1826,City,4,Trip Completed,12-07-2016 09:27,12-07-2016,09:27,Morning,12-07-2016 10:27,12-07-2016,10:27
2102,City,4,Trip Completed,12-07-2016 16:09,12-07-2016,16:09,Evening,12-07-2016 17:01,12-07-2016,17:01
2847,Airport,4,Trip Completed,13-07-2016 05:34,13-07-2016,05:34,Early Morning,13-07-2016 06:09,13-07-2016,06:09
3722,Airport,4,Trip Completed,13-07-2016 19:57,13-07-2016,19:57,Night,13-07-2016 20:32,13-07-2016,20:32
4075,City,4,Trip Completed,14-07-2016 02:17,14-07-2016,02:17,Early Morning,14-07-2016 03:21,14-07-2016,03:21
4686,City,4,Trip Completed,14-07-2016 13:01,14-07-2016,13:01,Afternoon,14-07-2016 13:45,14-07-2016,13:45
